grid_id,ppi_information_threshold_z,ppi_noise_threshold_z,recovery_information_min_ratio,recovery_noise_max_ratio,valid_scored_rows,baseline_computed_count,computed_count,information_count,noise_count,high_confidence_count,low_confidence_count,computed_relative_change,information_share,information_share_shift,baseline_computed_flip_count,baseline_computed_flip_rate,gridpoint_indicator,overall_scenario_indicator
041_ppi_i2_ppi_n0.75_rr_i1.25_rr_n1.05,2.000000,0.750000,1.250000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
042_ppi_i2_ppi_n0.75_rr_i1.25_rr_n1.1,2.000000,0.750000,1.250000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
043_ppi_i2_ppi_n0.75_rr_i1.35_rr_n1.02,2.000000,0.750000,1.350000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
044_ppi_i2_ppi_n0.75_rr_i1.35_rr_n1.05,2.000000,0.750000,1.350000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
045_ppi_i2_ppi_n0.75_rr_i1.35_rr_n1.1,2.000000,0.750000,1.350000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
046_ppi_i2_ppi_n1_rr_i1.15_rr_n1.02,2.000000,1.000000,1.150000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
047_ppi_i2_ppi_n1_rr_i1.15_rr_n1.05,2.000000,1.000000,1.150000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
048_ppi_i2_ppi_n1_rr_i1.15_rr_n1.1,2.000000,1.000000,1.150000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
049_ppi_i2_ppi_n1_rr_i1.25_rr_n1.02,2.000000,1.000000,1.250000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
050_ppi_i2_ppi_n1_rr_i1.25_rr_n1.05,2.000000,1.000000,1.250000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
051_ppi_i2_ppi_n1_rr_i1.25_rr_n1.1,2.000000,1.000000,1.250000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
052_ppi_i2_ppi_n1_rr_i1.35_rr_n1.02,2.000000,1.000000,1.350000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
053_ppi_i2_ppi_n1_rr_i1.35_rr_n1.05,2.000000,1.000000,1.350000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
054_ppi_i2_ppi_n1_rr_i1.35_rr_n1.1,2.000000,1.000000,1.350000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
055_ppi_i2.5_ppi_n0.5_rr_i1.15_rr_n1.02,2.500000,0.500000,1.150000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
056_ppi_i2.5_ppi_n0.5_rr_i1.15_rr_n1.05,2.500000,0.500000,1.150000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
057_ppi_i2.5_ppi_n0.5_rr_i1.15_rr_n1.1,2.500000,0.500000,1.150000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
058_ppi_i2.5_ppi_n0.5_rr_i1.25_rr_n1.02,2.500000,0.500000,1.250000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
059_ppi_i2.5_ppi_n0.5_rr_i1.25_rr_n1.05,2.500000,0.500000,1.250000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
060_ppi_i2.5_ppi_n0.5_rr_i1.25_rr_n1.1,2.500000,0.500000,1.250000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
061_ppi_i2.5_ppi_n0.5_rr_i1.35_rr_n1.02,2.500000,0.500000,1.350000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
062_ppi_i2.5_ppi_n0.5_rr_i1.35_rr_n1.05,2.500000,0.500000,1.350000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
063_ppi_i2.5_ppi_n0.5_rr_i1.35_rr_n1.1,2.500000,0.500000,1.350000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
064_ppi_i2.5_ppi_n0.75_rr_i1.15_rr_n1.02,2.500000,0.750000,1.150000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
065_ppi_i2.5_ppi_n0.75_rr_i1.15_rr_n1.05,2.500000,0.750000,1.150000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
066_ppi_i2.5_ppi_n0.75_rr_i1.15_rr_n1.1,2.500000,0.750000,1.150000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
067_ppi_i2.5_ppi_n0.75_rr_i1.25_rr_n1.02,2.500000,0.750000,1.250000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
068_ppi_i2.5_ppi_n0.75_rr_i1.25_rr_n1.05,2.500000,0.750000,1.250000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
069_ppi_i2.5_ppi_n0.75_rr_i1.25_rr_n1.1,2.500000,0.750000,1.250000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
070_ppi_i2.5_ppi_n0.75_rr_i1.35_rr_n1.02,2.500000,0.750000,1.350000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
071_ppi_i2.5_ppi_n0.75_rr_i1.35_rr_n1.05,2.500000,0.750000,1.350000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
072_ppi_i2.5_ppi_n0.75_rr_i1.35_rr_n1.1,2.500000,0.750000,1.350000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
073_ppi_i2.5_ppi_n1_rr_i1.15_rr_n1.02,2.500000,1.000000,1.150000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
074_ppi_i2.5_ppi_n1_rr_i1.15_rr_n1.05,2.500000,1.000000,1.150000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
075_ppi_i2.5_ppi_n1_rr_i1.15_rr_n1.1,2.500000,1.000000,1.150000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
076_ppi_i2.5_ppi_n1_rr_i1.25_rr_n1.02,2.500000,1.000000,1.250000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
077_ppi_i2.5_ppi_n1_rr_i1.25_rr_n1.05,2.500000,1.000000,1.250000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
078_ppi_i2.5_ppi_n1_rr_i1.25_rr_n1.1,2.500000,1.000000,1.250000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
079_ppi_i2.5_ppi_n1_rr_i1.35_rr_n1.02,2.500000,1.000000,1.350000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
080_ppi_i2.5_ppi_n1_rr_i1.35_rr_n1.05,2.500000,1.000000,1.350000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
